team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ground,ground_city,ground_country,match_date
Pakistan,South Africa,277,269,6,6,home,away,Pakistan,8.0,runs,Day and night,South Africa tour of Pakistan,Shoaib Malik,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,bat first,Lahore,Lahore,Pakistan,2003-10-03
Pakistan,South Africa,267,225,7,9,home,away,Pakistan,42.0,runs,Day and night,South Africa tour of Pakistan,Mohammad Sami,Pakistan,"Gaddafi Stadium, Lahore",South Africa,field first,Lahore,Lahore,Pakistan,2003-10-05
Pakistan,South Africa,243,221,8,6,home,away,South Africa,13.0,runs,Day,South Africa tour of Pakistan,Jacques Kallis,South Africa,"Iqbal Stadium, Faisalabad",Pakistan,bat first,Faisalabad,Faisalabad,Pakistan,2003-10-07
Pakistan,South Africa,157,158,10,4,home,away,South Africa,6.0,wickets,Day and night,South Africa tour of Pakistan,Andre Nel,South Africa,Rawalpindi Cricket Stadium,Pakistan,bat first,Rawalpindi,Rawalpindi,Pakistan,2003-10-10
Pakistan,South Africa,192,193,10,3,home,away,South Africa,7.0,wickets,Day and night,South Africa tour of Pakistan,Boeta Dippenaar,South Africa,Rawalpindi Cricket Stadium,Pakistan,bat first,Rawalpindi,Rawalpindi,Pakistan,2003-10-12
India,Australia,283,246,5,9,home,away,India,37.0,runs,Day and night,TVS Cup (India),Sachin Tendulkar,India,"Captain Roop Singh Stadium, Gwalior",India,bat first,Gwalior,Gwalior,India,2003-10-26
New Zealand,Australia,97,101,10,2,away,away,Australia,8.0,wickets,Day,TVS Cup (India),Brad Williams,Australia,"Nahar Singh Stadium, Faridabad",New Zealand,bat first,Faridabad,Faridabad,India,2003-10-29
Australia,India,286,209,8,10,away,home,Australia,77.0,runs,Day and night,TVS Cup (India),Damien Martyn,Australia,"Wankhede Stadium, Mumbai",Australia,bat first,Mumbai,Mumbai,India,2003-11-01
New Zealand,Australia,258,259,9,8,away,away,Australia,2.0,wickets,Day,TVS Cup (India),Brad Williams,Australia,"Nehru Stadium, Poona",Australia,field first,Pune,Pune,India,2003-11-03
India,New Zealand,246,249,9,6,home,away,New Zealand,4.0,wickets,Day and night,TVS Cup (India),Scott Styris,New Zealand,"Barabati Stadium, Cuttack",India,bat first,Cuttack,Cuttack,India,2003-11-06
Bangladesh,England,143,144,10,3,home,away,England,7.0,wickets,Day,England tour of Bangladesh,Andrew Flintoff,England,"MA Aziz Stadium, Chittagong",Bangladesh,bat first,Chattogram,Chattogram,Bangladesh,2003-11-07
Australia,New Zealand,225,181,7,10,away,away,Australia,44.0,runs,Day,TVS Cup (India),Michael Bevan,Australia,"Nehru Stadium, Guwahati",New Zealand,field first,Guwahati,Stadium Road,India,2003-11-09
Bangladesh,England,134,137,9,3,home,away,England,7.0,wickets,Day and night,England tour of Bangladesh,Andrew Flintoff,England,"Bangabandhu National Stadium, Dhaka",Bangladesh,bat first,Dhaka,Dhaka,Bangladesh,2003-11-10
Bangladesh,England,182,185,10,3,home,away,England,7.0,wickets,Day and night,England tour of Bangladesh,Andrew Flintoff,England,"Bangabandhu National Stadium, Dhaka",Bangladesh,bat first,Dhaka,Dhaka,Bangladesh,2003-11-12
Australia,India,347,286,2,8,away,home,Australia,61.0,runs,Day and night,TVS Cup (India),Adam Gilchrist,Australia,"M Chinnaswamy Stadium, Bangalore",Australia,bat first,Bengaluru,Bengaluru,India,2003-11-12
India,New Zealand,353,208,5,10,home,away,India,145.0,runs,Day and night,TVS Cup (India),Virender Sehwag,India,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",India,bat first,Hyderabad (Deccan),Hyderabad,India,2003-11-15
England,Sri Lanka,88,89,10,0,away,home,Sri Lanka,10.0,wickets,Day and night,England tour of Sri Lanka,Chaminda Vaas,Sri Lanka,Rangiri Dambulla International Stadium,England,bat first,Dambulla,Dambulla,Sri Lanka,2003-11-18
Australia,India,235,198,5,10,away,home,Australia,37.0,runs,Day and night,TVS Cup (India),Michael Clarke,Australia,"Eden Gardens, Kolkata",Australia,bat first,Kolkata,Kolkata,India,2003-11-18
West Indies,Zimbabwe,347,173,6,3,away,home,West Indies,51.0,runs,Day,West Indies tour of Zimbabwe,Chris Gayle,West Indies,"Queens Sports Club, Bulawayo",West Indies,bat first,Bulawayo,Bulawayo,Zimbabwe,2003-11-22
West Indies,Zimbabwe,125,128,10,4,away,home,Zimbabwe,6.0,wickets,Day,West Indies tour of Zimbabwe,Mark Vermeulen,Zimbabwe,"Queens Sports Club, Bulawayo",West Indies,bat first,Bulawayo,Bulawayo,Zimbabwe,2003-11-23
Zimbabwe,West Indies,229,208,5,10,home,away,Zimbabwe,21.0,runs,Day,West Indies tour of Zimbabwe,Heath Streak,Zimbabwe,Harare Sports Club,West Indies,field first,Harare,Harare,Zimbabwe,2003-11-26
West Indies,Zimbabwe,256,150,3,7,away,home,West Indies,72.0,runs,Day,West Indies tour of Zimbabwe,Fidel Edwards,West Indies,Harare Sports Club,Zimbabwe,field first,Harare,Harare,Zimbabwe,2003-11-29
New Zealand,Pakistan,291,292,5,7,away,home,Pakistan,3.0,wickets,Day and night,New Zealand tour of Pakistan,Abdul Razzaq,Pakistan,"Gaddafi Stadium, Lahore",New Zealand,bat first,Lahore,Lahore,Pakistan,2003-11-29
Zimbabwe,West Indies,196,197,10,2,home,away,West Indies,8.0,wickets,Day,West Indies tour of Zimbabwe,Chris Gayle,West Indies,Harare Sports Club,Zimbabwe,bat first,Harare,Harare,Zimbabwe,2003-11-30
Pakistan,New Zealand,281,157,6,10,home,away,Pakistan,124.0,runs,Day and night,New Zealand tour of Pakistan,Mohammad Sami,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,bat first,Lahore,Lahore,Pakistan,2003-12-01
Pakistan,New Zealand,314,263,7,7,home,away,Pakistan,51.0,runs,Day,New Zealand tour of Pakistan,Imran Farhat,Pakistan,"Iqbal Stadium, Faisalabad",Pakistan,bat first,Faisalabad,Faisalabad,Pakistan,2003-12-03
New Zealand,Pakistan,183,184,10,3,away,home,Pakistan,7.0,wickets,Day and night,New Zealand tour of Pakistan,Imran Farhat,Pakistan,Rawalpindi Cricket Stadium,New Zealand,bat first,Rawalpindi,Rawalpindi,Pakistan,2003-12-05
Pakistan,New Zealand,277,228,4,6,home,away,Pakistan,49.0,runs,Day and night,New Zealand tour of Pakistan,Imran Farhat,Pakistan,Rawalpindi Cricket Stadium,Pakistan,bat first,Rawalpindi,Rawalpindi,Pakistan,2003-12-07
Pakistan,New Zealand,229,230,7,6,away,home,New Zealand,4.0,wickets,Day,Pakistan tour of New Zealand,Scott Styris,New Zealand,"Eden Park, Auckland",New Zealand,field first,Auckland,Auckland,New Zealand,2004-01-03
New Zealand,Pakistan,235,236,8,4,home,away,Pakistan,6.0,wickets,Day,Pakistan tour of New Zealand,Mohammad Yousuf,Pakistan,"Davies Park, Queenstown",Pakistan,field first,Queenstown,Queenstown,New Zealand,2004-01-07
Australia,India,288,270,10,10,home,away,Australia,18.0,runs,Day and night,VB Series,Andrew Symonds,Australia,Melbourne Cricket Ground,Australia,bat first,Melbourne,Jolimont,Australia,2004-01-09
Pakistan,New Zealand,255,259,9,3,away,home,New Zealand,7.0,wickets,Day,Pakistan tour of New Zealand,Stephen Fleming,New Zealand,"Jade Stadium, Christchurch",New Zealand,field first,Christchurch,Christchurch,New Zealand,2004-01-10
Australia,Zimbabwe,225,126,8,10,home,away,Australia,99.0,runs,Day and night,VB Series,Brad Williams,Australia,Sydney Cricket Ground,Australia,bat first,Sydney,Moore Park,Australia,2004-01-11
Pakistan,New Zealand,126,127,10,2,away,home,New Zealand,8.0,wickets,Day,Pakistan tour of New Zealand,Jacob Oram,New Zealand,"McLean Park, Napier",New Zealand,field first,Napier,Napier,New Zealand,2004-01-14
Zimbabwe,India,208,211,6,3,away,away,India,7.0,wickets,Day,VB Series,Virender Sehwag,India,"Bellerive Oval, Hobart",Zimbabwe,bat first,Hobart,Bellerive,Australia,2004-01-14
Australia,Zimbabwe,344,196,7,6,home,away,Australia,148.0,runs,Day,VB Series,Adam Gilchrist,Australia,"Bellerive Oval, Hobart",Australia,bat first,Hobart,Bellerive,Australia,2004-01-16
New Zealand,Pakistan,307,303,8,10,home,away,New Zealand,4.0,runs,Day and night,Pakistan tour of New Zealand,Abdul Razzaq,Pakistan,"Westpac Stadium, Wellington",New Zealand,bat first,Wellington,Wellington,New Zealand,2004-01-17
India,Australia,303,284,4,10,away,home,India,19.0,runs,Day and night,VB Series,VVS Laxman,India,"Brisbane Cricket Ground, Woolloongabba, Brisbane",India,bat first,Brisbane,Woolloongabba,Australia,2004-01-18
India,Zimbabwe,255,231,6,10,away,away,India,24.0,runs,Day and night,VB Series,Yuvraj Singh,India,"Brisbane Cricket Ground, Woolloongabba, Brisbane",India,bat first,Brisbane,Woolloongabba,Australia,2004-01-20
India,Australia,296,225,4,8,away,home,Australia,2.0,wickets,Day and night,VB Series,Yuvraj Singh,India,Sydney Cricket Ground,India,bat first,Sydney,Moore Park,Australia,2004-01-22
India,Zimbabwe,280,277,7,6,away,away,India,3.0,runs,Day and night,VB Series,VVS Laxman,India,Adelaide Oval,India,bat first,Adelaide,North Adelaide,Australia,2004-01-24
South Africa,West Indies,263,54,4,10,home,away,South Africa,209.0,runs,Day and night,West Indies tour of South Africa,Jacques Kallis,South Africa,"Newlands, Cape Town",South Africa,bat first,Cape Town,Cape Town,South Africa,2004-01-25
Australia,Zimbabwe,279,266,7,8,home,away,Australia,13.0,runs,Day and night,VB Series,Grant Flower,Zimbabwe,Adelaide Oval,Australia,bat first,Adelaide,North Adelaide,Australia,2004-01-26
South Africa,West Indies,179,163,7,10,home,away,South Africa,16.0,runs,Day and night,West Indies tour of South Africa,Boeta Dippenaar,South Africa,"St George's Park, Port Elizabeth",South Africa,bat first,Port Elizabeth,Port Elizabeth,South Africa,2004-01-28
India,Australia,203,204,10,5,away,home,Australia,5.0,wickets,Day,VB Series,Adam Gilchrist,Australia,"Western Australia Cricket Association Ground, Perth",India,bat first,Perth,East Perth,Australia,2004-02-01
South Africa,West Indies,297,300,4,3,home,away,West Indies,7.0,wickets,Day,West Indies tour of South Africa,Shivnarine Chanderpaul,West Indies,"SuperSport Park, Centurion",South Africa,bat first,Centurion,Centurion,South Africa,2004-02-01
Zimbabwe,India,135,136,10,6,away,away,India,4.0,wickets,Day and night,VB Series,Irfan Pathan,India,"Western Australia Cricket Association Ground, Perth",Zimbabwe,bat first,Perth,East Perth,Australia,2004-02-03
West Indies,South Africa,304,310,2,6,away,home,South Africa,4.0,wickets,Day and night,West Indies tour of South Africa,Jacques Kallis,South Africa,"New Wanderers Stadium, Johannesburg",West Indies,bat first,Johannesburg,Johannesburg,South Africa,2004-02-04
India,Australia,222,224,10,3,away,home,Australia,7.0,wickets,Day and night,VB Series,Ricky Ponting,Australia,Melbourne Cricket Ground,India,bat first,Melbourne,Jolimont,Australia,2004-02-06
Australia,India,359,151,5,10,home,away,Australia,208.0,runs,Day and night,VB Series,Matthew Hayden,Australia,Sydney Cricket Ground,Australia,bat first,Sydney,Moore Park,Australia,2004-02-08
New Zealand,South Africa,225,226,8,5,home,away,South Africa,5.0,wickets,Day and night,South Africa tour of New Zealand,Graeme Smith,South Africa,"Eden Park, Auckland",South Africa,field first,Auckland,Auckland,New Zealand,2004-02-13
South Africa,New Zealand,253,255,8,5,away,home,New Zealand,5.0,wickets,Day and night,South Africa tour of New Zealand,Stephen Fleming,New Zealand,"Jade Stadium, Christchurch",South Africa,bat first,Christchurch,Christchurch,New Zealand,2004-02-17
New Zealand,South Africa,254,249,5,7,home,away,New Zealand,5.0,runs,Day and night,South Africa tour of New Zealand,Scott Styris,New Zealand,"Westpac Stadium, Wellington",South Africa,field first,Wellington,Wellington,New Zealand,2004-02-20
Australia,Sri Lanka,262,178,6,10,away,home,Australia,84.0,runs,Day and night,Australia tour of Sri Lanka,Brad Hogg,Australia,Rangiri Dambulla International Stadium,Australia,bat first,Dambulla,Dambulla,Sri Lanka,2004-02-20
Sri Lanka,Australia,245,244,10,5,home,away,Sri Lanka,1.0,run,Day,Australia tour of Sri Lanka,Chaminda Vaas,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,bat first,Dambulla,Dambulla,Sri Lanka,2004-02-22
South Africa,New Zealand,259,264,7,4,away,home,New Zealand,6.0,wickets,Day,South Africa tour of New Zealand,Hamish Marshall,New Zealand,"Carisbrook, Dunedin",New Zealand,field first,Dunedin,Dunedin,New Zealand,2004-02-25
Sri Lanka,Australia,226,227,8,5,home,away,Australia,5.0,wickets,Day and night,Australia tour of Sri Lanka,Jason Gillespie,Australia,"R Premadasa Stadium, Colombo",Sri Lanka,bat first,Colombo (RPS),Khettarama,Sri Lanka,2004-02-25
Australia,Sri Lanka,233,193,10,10,away,home,Australia,40.0,runs,Day and night,Australia tour of Sri Lanka,Michael Kasprowicz,Australia,"R Premadasa Stadium, Colombo",Australia,bat first,Colombo (RPS),Khettarama,Sri Lanka,2004-02-27
New Zealand,South Africa,193,175,8,5,home,away,New Zealand,2.0,runs,Day,South Africa tour of New Zealand,Chris Harris,New Zealand,"Eden Park, Auckland",South Africa,field first,Auckland,Auckland,New Zealand,2004-02-29
Australia,Sri Lanka,198,202,7,7,away,home,Sri Lanka,3.0,wickets,Day,Australia tour of Sri Lanka,Nuwan Zoysa,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",Australia,bat first,Colombo (SSC),Colombo,Sri Lanka,2004-02-29
South Africa,New Zealand,186,190,9,5,away,home,New Zealand,5.0,wickets,Day,South Africa tour of New Zealand,Michael Papps,New Zealand,"McLean Park, Napier",South Africa,bat first,Napier,Napier,New Zealand,2004-03-02
Bangladesh,Zimbabwe,238,230,7,9,away,home,Bangladesh,8.0,runs,Day,Bangladesh tour of Zimbabwe,Mohammad Ashraful,Bangladesh,Harare Sports Club,Zimbabwe,field first,Harare,Harare,Zimbabwe,2004-03-10
Zimbabwe,Bangladesh,242,228,8,10,home,away,Zimbabwe,14.0,runs,Day,Bangladesh tour of Zimbabwe,Heath Streak,Zimbabwe,Harare Sports Club,Zimbabwe,bat first,Harare,Harare,Zimbabwe,2004-03-12
India,Pakistan,349,344,7,8,away,home,India,5.0,runs,Day,India tour of Pakistan,Inzamam-ul-Haq,Pakistan,"National Stadium, Karachi",Pakistan,field first,Karachi,Karachi,Pakistan,2004-03-13
Bangladesh,Zimbabwe,183,185,10,7,away,home,Zimbabwe,3.0,wickets,Day,Bangladesh tour of Zimbabwe,Khaled Mahmud,Bangladesh,Harare Sports Club,Bangladesh,bat first,Harare,Harare,Zimbabwe,2004-03-14
Pakistan,India,329,317,6,10,home,away,Pakistan,12.0,runs,Day and night,India tour of Pakistan,Sachin Tendulkar,India,Rawalpindi Cricket Stadium,Pakistan,bat first,Rawalpindi,Rawalpindi,Pakistan,2004-03-16
India,Pakistan,244,247,9,6,away,home,Pakistan,4.0,wickets,Day,India tour of Pakistan,Yasir Hameed,Pakistan,"Arbab Niaz Stadium, Peshawar",Pakistan,field first,Peshawar,Peshawar,Pakistan,2004-03-19
Pakistan,India,293,294,9,5,home,away,India,5.0,wickets,Day and night,India tour of Pakistan,Inzamam-ul-Haq,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,bat first,Lahore,Lahore,Pakistan,2004-03-21
India,Pakistan,293,253,7,10,away,home,India,40.0,runs,Day and night,India tour of Pakistan,VVS Laxman,India,"Gaddafi Stadium, Lahore",Pakistan,field first,Lahore,Lahore,Pakistan,2004-03-24
West Indies,England,156,157,5,8,away,away,England,2.0,wickets,Day,England tour of West Indies,Chris Read,England,"Bourda, Georgetown, Guyana",England,field first,Georgetown,Georgetown,Guyana,2004-04-18
Zimbabwe,Sri Lanka,211,144,6,4,home,away,Sri Lanka,12.0,runs,Day,Sri Lanka tour of Zimbabwe,Tatenda Taibu,Zimbabwe,"Queens Sports Club, Bulawayo",Sri Lanka,field first,Bulawayo,Bulawayo,Zimbabwe,2004-04-20
Zimbabwe,Sri Lanka,136,139,10,1,home,away,Sri Lanka,9.0,wickets,Day,Sri Lanka tour of Zimbabwe,Chaminda Vaas,Sri Lanka,"Queens Sports Club, Bulawayo",Sri Lanka,field first,Bulawayo,Bulawayo,Zimbabwe,2004-04-22
Zimbabwe,Sri Lanka,35,40,10,1,home,away,Sri Lanka,9.0,wickets,Day,Sri Lanka tour of Zimbabwe,Chaminda Vaas,Sri Lanka,Harare Sports Club,Sri Lanka,field first,Harare,Harare,Zimbabwe,2004-04-25
Sri Lanka,Zimbabwe,223,151,9,10,away,home,Sri Lanka,72.0,runs,Day,Sri Lanka tour of Zimbabwe,Upul Chandana,Sri Lanka,Harare Sports Club,Zimbabwe,field first,Harare,Harare,Zimbabwe,2004-04-27
Sri Lanka,Zimbabwe,246,221,7,9,away,home,Sri Lanka,25.0,runs,Day,Sri Lanka tour of Zimbabwe,Russel Arnold,Sri Lanka,Harare Sports Club,Sri Lanka,bat first,Harare,Harare,Zimbabwe,2004-04-29
England,West Indies,281,284,8,5,away,home,West Indies,5.0,wickets,Day,England tour of West Indies,Ramnaresh Sarwan,West Indies,"Beausejour Stadium, Gros Islet, St Lucia",West Indies,field first,Gros Islet,Gros Islet,West Indies,2004-05-01
England,West Indies,280,282,8,6,away,home,West Indies,4.0,wickets,Day,England tour of West Indies,Shivnarine Chanderpaul,West Indies,"Beausejour Stadium, Gros Islet, St Lucia",West Indies,field first,Gros Islet,Gros Islet,West Indies,2004-05-02
West Indies,England,261,262,6,5,home,away,England,5.0,wickets,Day,England tour of West Indies,Marcus Trescothick,England,"Kensington Oval, Bridgetown, Barbados",England,field first,Bridgetown,Bridgetown,West Indies,2004-05-05
Bangladesh,West Indies,144,145,8,9,away,home,West Indies,1.0,wicket,Day,Bangladesh tour of West Indies,Ian Bradshaw,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,field first,Kingstown,Arnos Vale,West Indies,2004-05-15
West Indies,Bangladesh,124,101,7,8,home,away,West Indies,23.0,runs,Day,Bangladesh tour of West Indies,Dwayne Smith,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",Bangladesh,field first,Kingstown,Arnos Vale,West Indies,2004-05-16
Bangladesh,West Indies,118,119,7,3,away,away,West Indies,7.0,wickets,Day,Bangladesh tour of West Indies,Devon Smith,West Indies,"National Cricket Stadium, St George's, Grenada",Bangladesh,bat first,St George's,St George's,Grenada,2004-05-19
Zimbabwe,Australia,205,207,9,3,home,away,Australia,7.0,wickets,Day,Australia tour of Zimbabwe,Ricky Ponting,Australia,Harare Sports Club,Zimbabwe,bat first,Harare,Harare,Zimbabwe,2004-05-25
Australia,Zimbabwe,323,184,8,10,away,home,Australia,139.0,runs,Day,Australia tour of Zimbabwe,Darren Lehmann,Australia,Harare Sports Club,Zimbabwe,field first,Harare,Harare,Zimbabwe,2004-05-27
Zimbabwe,Australia,196,199,10,2,home,away,Australia,8.0,wickets,Day,Australia tour of Zimbabwe,Jason Gillespie,Australia,Harare Sports Club,Australia,field first,Harare,Harare,Zimbabwe,2004-05-29
England,West Indies,147,148,10,3,home,away,West Indies,7.0,wickets,Day,NatWest Series,Dwayne Bravo,West Indies,"Trent Bridge, Nottingham",West Indies,field first,Nottingham,Nottingham,England,2004-06-27
England,New Zealand,101,103,10,3,home,away,New Zealand,7.0,wickets,Day and night,NatWest Series,James Franklin,New Zealand,"Riverside Ground, Chester-le-Street",New Zealand,field first,Chester-le-Street,Chester-le-Street,England,2004-06-29
West Indies,England,159,160,10,3,away,home,England,7.0,wickets,Day and night,NatWest Series,Steve Harmison,England,"Headingley, Leeds",England,field first,Leeds,Leeds,England,2004-07-01
West Indies,New Zealand,216,220,10,5,away,away,New Zealand,5.0,wickets,Day,NatWest Series,Hamish Marshall,New Zealand,"Sophia Gardens, Cardiff",New Zealand,field first,Cardiff,Cardiff,Wales,2004-07-03
England,New Zealand,237,241,7,4,home,away,New Zealand,6.0,wickets,Day,NatWest Series,Stephen Fleming,New Zealand,"The Royal & Sun Alliance County Ground, Bristol",New Zealand,field first,Bristol,Bishopston,England,2004-07-04
England,West Indies,285,286,7,3,home,away,West Indies,7.0,wickets,Day,NatWest Series,Chris Gayle,West Indies,"Lord's, London",West Indies,field first,Lord's,St John's Wood Road,England,2004-07-06
New Zealand,West Indies,266,159,10,10,away,away,New Zealand,107.0,runs,Day,NatWest Series,Daniel Vettori,New Zealand,"Lord's, London",West Indies,field first,Lord's,St John's Wood Road,England,2004-07-10
Bangladesh,Hong Kong,221,105,9,10,away,away,Bangladesh,116.0,runs,Day,Asia Cup,Javed Omar,Bangladesh,"Sinhalese Sports Club Ground, Colombo",Hong Kong,field first,Colombo (SSC),Colombo,Sri Lanka,2004-07-16
India,United Arab Emirates,260,144,6,10,away,away,India,116.0,runs,Day and night,Asia Cup,Rahul Dravid,India,Rangiri Dambulla International Stadium,India,bat first,Dambulla,Dambulla,Sri Lanka,2004-07-16
Pakistan,Bangladesh,257,181,6,10,away,away,Pakistan,76.0,runs,Day,Asia Cup,Yasir Hameed,Pakistan,"Sinhalese Sports Club Ground, Colombo",Pakistan,bat first,Colombo (SSC),Colombo,Sri Lanka,2004-07-17
Sri Lanka,United Arab Emirates,239,123,10,10,home,away,Sri Lanka,116.0,runs,Day and night,Asia Cup,Khurram Khan,United Arab Emirates,Rangiri Dambulla International Stadium,Sri Lanka,bat first,Dambulla,Dambulla,Sri Lanka,2004-07-17
Pakistan,Hong Kong,343,165,5,10,away,away,Pakistan,173.0,runs,Day,Asia Cup,Shoaib Malik,Pakistan,"Sinhalese Sports Club Ground, Colombo",Pakistan,bat first,Colombo (SSC),Colombo,Sri Lanka,2004-07-18
Sri Lanka,India,282,270,4,8,home,away,Sri Lanka,12.0,runs,Day and night,Asia Cup,Nuwan Zoysa,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,bat first,Dambulla,Dambulla,Sri Lanka,2004-07-18
Bangladesh,India,177,178,10,2,away,away,India,8.0,wickets,Day,Asia Cup,Sachin Tendulkar,India,"Sinhalese Sports Club Ground, Colombo",India,field first,Colombo (SSC),Colombo,Sri Lanka,2004-07-21
Pakistan,Sri Lanka,122,123,10,3,away,home,Sri Lanka,7.0,wickets,Day and night,Asia Cup,Nuwan Zoysa,Sri Lanka,"R Premadasa Stadium, Colombo",Pakistan,bat first,Colombo (RPS),Khettarama,Sri Lanka,2004-07-21
Bangladesh,Sri Lanka,190,191,9,0,away,home,Sri Lanka,10.0,wickets,Day and night,Asia Cup,Sanath Jayasuriya,Sri Lanka,"R Premadasa Stadium, Colombo",Bangladesh,bat first,Colombo (RPS),Khettarama,Sri Lanka,2004-07-23
Pakistan,India,300,241,9,8,away,away,Pakistan,59.0,runs,Day and night,Asia Cup,Shoaib Malik,Pakistan,"R Premadasa Stadium, Colombo",Pakistan,bat first,Colombo (RPS),Khettarama,Sri Lanka,2004-07-25
India,Sri Lanka,271,267,6,9,away,home,India,4.0,runs,Day and night,Asia Cup,Virender Sehwag,India,"R Premadasa Stadium, Colombo",India,bat first,Colombo (RPS),Khettarama,Sri Lanka,2004-07-27
Bangladesh,Pakistan,166,167,10,4,away,away,Pakistan,6.0,wickets,Day and night,Asia Cup,Shoaib Malik,Pakistan,"R Premadasa Stadium, Colombo",Bangladesh,bat first,Colombo (RPS),Khettarama,Sri Lanka,2004-07-29
Sri Lanka,India,228,203,9,9,home,away,Sri Lanka,25.0,runs,Day and night,Asia Cup,Marvan Atapattu,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,bat first,Colombo (RPS),Khettarama,Sri Lanka,2004-08-01
South Africa,Sri Lanka,263,265,9,7,away,home,Sri Lanka,3.0,wickets,Day and night,South Africa tour of Sri Lanka,Chaminda Vaas,Sri Lanka,"R Premadasa Stadium, Colombo",South Africa,bat first,Colombo (RPS),Khettarama,Sri Lanka,2004-08-20
Pakistan,India,192,127,6,10,away,away,Pakistan,66.0,runs,Day,Videocon Cup,Shoaib Malik,Pakistan,"VRA Ground, Amstelveen",India,field first,Amstelveen,Amstelveen,Netherlands,2004-08-21
Sri Lanka,South Africa,213,176,9,10,home,away,Sri Lanka,37.0,runs,Day,South Africa tour of Sri Lanka,Nuwan Zoysa,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,bat first,Colombo (RPS),Khettarama,Sri Lanka,2004-08-22
South Africa,Sri Lanka,191,192,10,6,away,home,Sri Lanka,4.0,wickets,Day and night,South Africa tour of Sri Lanka,Marvan Atapattu,Sri Lanka,Rangiri Dambulla International Stadium,South Africa,bat first,Dambulla,Dambulla,Sri Lanka,2004-08-25
South Africa,Sri Lanka,235,236,7,3,away,home,Sri Lanka,7.0,wickets,Day,South Africa tour of Sri Lanka,Kumar Sangakkara,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,field first,Dambulla,Dambulla,Sri Lanka,2004-08-28
Australia,Pakistan,192,175,7,10,away,away,Australia,17.0,runs,Day,Videocon Cup,Andrew Symonds,Australia,"VRA Ground, Amstelveen",Australia,bat first,Amstelveen,Amstelveen,Netherlands,2004-08-28
Sri Lanka,South Africa,308,259,8,10,home,away,Sri Lanka,49.0,runs,Day,South Africa tour of Sri Lanka,Upul Chandana,Sri Lanka,"Sinhalese Sports Club Ground, Colombo",South Africa,field first,Colombo (SSC),Colombo,Sri Lanka,2004-08-31
India,England,170,171,10,3,away,home,England,7.0,wickets,Day,India tour of England,Alex Wharf,England,"Trent Bridge, Nottingham",England,field first,Nottingham,Nottingham,England,2004-09-01
England,India,307,237,5,10,home,away,England,70.0,runs,Day,India tour of England,Andrew Flintoff,England,"Kennington Oval, London",India,field first,The Oval,London,England,2004-09-03
Australia,Pakistan,269,259,6,10,away,away,Australia,10.0,runs,Day,Australia tour of England,Andrew Symonds,Australia,"Lord's, London",Pakistan,field first,Lord's,St John's Wood Road,England,2004-09-04
India,England,204,181,10,10,away,home,India,23.0,runs,Day,India tour of England,Sourav Ganguly,India,"Lord's, London",India,bat first,Lord's,St John's Wood Road,England,2004-09-05
England,Zimbabwe,299,147,7,10,home,away,England,152.0,runs,Day,ICC Champions Trophy,Paul Collingwood,England,"Edgbaston, Birmingham",Zimbabwe,field first,Birmingham,Birmingham,England,1996-01-01
New Zealand,United States of America,347,137,4,10,away,away,New Zealand,210.0,runs,Day,ICC Champions Trophy,Nathan Astle,New Zealand,"Kennington Oval, London",United States of America,field first,The Oval,London,England,2004-09-10
India,Kenya,290,192,4,7,away,away,India,98.0,runs,Day,ICC Champions Trophy,Sourav Ganguly,India,"The Rose Bowl, Southampton",Kenya,field first,Southampton,Northlands Road,England,2004-09-11
Bangladesh,South Africa,93,94,10,1,away,away,South Africa,9.0,wickets,Day,ICC Champions Trophy,Charl Langeveldt,South Africa,"Edgbaston, Birmingham",Bangladesh,bat first,Birmingham,Birmingham,England,2004-09-12
United States of America,Australia,65,66,10,1,away,away,Australia,9.0,wickets,Day,ICC Champions Trophy,Michael Kasprowicz,Australia,"The Rose Bowl, Southampton",Australia,field first,Southampton,Northlands Road,England,2004-09-13
Zimbabwe,Sri Lanka,191,195,10,6,away,away,Sri Lanka,4.0,wickets,Day,ICC Champions Trophy,Elton Chigumbura,Zimbabwe,"Kennington Oval, London",Sri Lanka,field first,The Oval,London,England,2004-09-14
Kenya,Pakistan,94,95,10,3,away,away,Pakistan,7.0,wickets,Day,ICC Champions Trophy,Shahid Afridi,Pakistan,"Edgbaston, Birmingham",Pakistan,field first,Birmingham,Birmingham,England,1996-01-01
