team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ground,ground_city,ground_country,match_date
India,Kenya,329,235,2,7,away,away,India,94.0,runs,Day,ICC World Cup,Sachin Tendulkar,India,"County Ground, Bristol",Kenya,field first,Bristol,Bishopston,England,1999-05-23
Pakistan,Australia,275,265,8,10,away,away,Pakistan,10.0,runs,Day,ICC World Cup,Inzamam-ul-Haq,Pakistan,"Headingley, Leeds",Australia,field first,Leeds,Leeds,England,1999-05-23
Bangladesh,Scotland,185,163,9,10,away,away,Bangladesh,22.0,runs,Day,ICC World Cup,Minhajul Abedin,Bangladesh,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,field first,Edinburgh,Edinburgh,Midlothian,1999-05-24
New Zealand,West Indies,156,158,10,3,away,away,West Indies,7.0,wickets,Day,ICC World Cup,Ridley Jacobs,West Indies,"County Ground, Southampton",West Indies,field first,Southampton,Northlands Road,England,1999-05-24
Zimbabwe,England,167,168,8,3,away,home,England,7.0,wickets,Day,ICC World Cup,Alan Mullally,England,"Trent Bridge, Nottingham",England,field first,Nottingham,Nottingham,England,1999-05-25
Kenya,South Africa,152,153,10,3,away,away,South Africa,7.0,wickets,Day,ICC World Cup,Lance Klusener,South Africa,"VRA Ground, Amstelveen",South Africa,field first,Amstelveen,Amstelveen,Netherlands,1999-05-26
India,Sri Lanka,373,216,6,10,away,away,India,157.0,runs,Day,ICC World Cup,Sourav Ganguly,India,"County Ground, Taunton",Sri Lanka,field first,Taunton,St James Street,England,1999-05-26
Bangladesh,Australia,178,181,7,3,away,away,Australia,7.0,wickets,Day,ICC World Cup,Tom Moody,Australia,"Riverside Ground, Chester-le-Street",Australia,field first,Chester-le-Street,Chester-le-Street,England,1999-05-27
Scotland,West Indies,68,70,10,2,away,away,West Indies,8.0,wickets,Day,ICC World Cup,Courtney Walsh,West Indies,"Grace Road, Leicester",Scotland,bat first,Leicester,Leicester,England,1999-05-27
Pakistan,New Zealand,269,207,8,8,away,away,Pakistan,62.0,runs,Day,ICC World Cup,Inzamam-ul-Haq,Pakistan,"County Ground, Derby",New Zealand,field first,Derby,Nottingham Road,England,1999-05-28
India,England,232,169,8,10,away,home,India,63.0,runs,Day,ICC World Cup,Sourav Ganguly,India,"Edgbaston, Birmingham",England,field first,Birmingham,Birmingham,England,1996-01-01
Zimbabwe,South Africa,233,185,6,10,away,away,Zimbabwe,48.0,runs,Day,ICC World Cup,Neil Johnson,Zimbabwe,"County Ground, Chelmsford",Zimbabwe,bat first,Chelmsford,New Writtle Street,England,1999-05-29
Sri Lanka,Kenya,275,230,8,6,away,away,Sri Lanka,45.0,runs,Day,ICC World Cup,Maurice Odumbe,Kenya,"County Ground, Southampton",Kenya,field first,Southampton,Northlands Road,England,1999-05-30
West Indies,Australia,110,111,10,4,away,away,Australia,6.0,wickets,Day,ICC World Cup,Glenn McGrath,Australia,"Old Trafford, Manchester",Australia,field first,Manchester,Stretford,England,1999-05-30
Bangladesh,Pakistan,223,161,9,10,away,away,Bangladesh,62.0,runs,Day,ICC World Cup,Khaled Mahmud,Bangladesh,"County Ground, Northampton",Pakistan,field first,Northampton,Wantage Road,England,1999-05-31
Scotland,New Zealand,121,123,10,4,away,away,New Zealand,6.0,wickets,Day,ICC World Cup,Geoff Allott,New Zealand,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",New Zealand,field first,Edinburgh,Edinburgh,Midlothian,1999-05-31
